location a0 a1 a2 stdiv
1 -0.0501372 118.564 -315106 0.000135961
2 -0.0570957 122.15 -313180 0.000162727
3 -0.0422996 103.809 -255735 0.000164974
4 -0.0312629 110.952 -326503 0.000152851
5 -0.0215178 -3.76059 -56803.1 9.71166e-06
6 -0.0200052 -75.7933 227091 1.34563e-05
7 -0.0210047 -17.1583 147217 0.000118867
8 -0.0162104 -14.6249 46204 6.03838e-06
9 -0.0124091 -114.959 293439 0.000105548
10 -0.0152255 -105.302 407046 4.07351e-05
11 -0.0144054 -28.9867 168492 4.83927e-05
12 -0.00976095 -84.8224 190652 0.000150756
13 -0.0114894 -137.238 393332 9.18392e-05
14 -0.012745 -75.8807 294465 2.67056e-05
15 -0.00882398 -68.413 200335 0.000126706
16 -0.00987991 -120.102 282438 0.000177413
17 -0.0116588 -113.802 303602 6.74457e-05
18 -0.00867567 -75.1372 216379 0.000113141
19 -0.00833891 -112.17 361171 0.000229144
20 -0.0110191 -139.991 415007 0.000166958
21 -0.0090158 -98.3244 196812 0.000126592
22 -0.00864799 -77.0382 249713 0.000140996
23 -0.0122832 -107.64 364544 7.41528e-05
24 -0.0101001 -129.673 289176 0.000116219
25 -0.00939349 -64.8784 118558 0.000135801
26 -0.0133109 -66.548 346248 3.34644e-05
27 -0.0125217 -137.334 487951 3.93988e-05
28 -0.0105922 -91.7048 159313 0.000109097
29 -0.0145123 -17.439 109895 2.46709e-05
30 -0.0168378 -63.3484 378014 4.7447e-05
31 -0.0146729 -87.097 257329 2.12801e-05
32 -0.0162909 4.64204 -48135.2 4.64727e-06
33 -0.0235018 72.1691 -79859.5 0.000102022
34 -0.0288893 28.2722 103847 9.93083e-05
35 -0.0304519 21.5271 55862.7 6.90164e-05
