location a0 a1 a2 stdiv
1 0.00105854 -7.66797 19931.9 1.18627e-05
2 0.000396883 -2.45466 5693.18 4.09803e-06
3 0.000212331 -0.884594 494.375 2.81316e-06
4 0.000179238 -0.507885 -1188.31 2.62319e-06
5 0.000183172 -0.478699 -1364.01 2.6406e-06
6 0.000166488 -0.384555 -1377.5 2.26362e-06
7 0.000141519 -0.307035 -1238.29 1.75676e-06
8 0.000116797 -0.314054 -790.319 1.25593e-06
9 9.0789e-05 -0.316912 -331.723 7.88134e-07
10 6.31922e-05 -0.276412 2.26188 3.96538e-07
11 3.56706e-05 -0.172222 0 1.56259e-07
12 1.65097e-05 -0.0931521 0 1.63259e-07
13 7.93284e-06 -0.055766 0 2.35589e-07
14 1.25118e-05 -0.174043 624.51 2.08017e-07
15 1.54206e-05 -0.213573 762.51 2.56794e-07
16 1.66938e-05 -0.229396 815.313 2.67007e-07
17 1.57911e-05 -0.215159 759.786 2.46059e-07
18 1.31393e-05 -0.178329 627.783 1.98134e-07
19 9.76752e-06 -0.132414 465.83 1.39823e-07
20 6.39546e-06 -0.0868189 305.928 8.45032e-08
21 3.5076e-06 -0.0480483 170.83 4.06014e-08
22 1.60261e-06 -0.0226572 82.9824 1.46712e-08
23 7.63997e-07 -0.0117052 45.8679 5.34835e-09
24 6.84021e-07 -0.0110338 44.9456 5.36238e-09
25 8.60219e-07 -0.0138167 56.0869 6.82995e-09
26 6.31096e-09 0.00536978 -44.3339 4.03142e-08
27 5.72392e-09 0.00497599 -41.1121 3.65642e-08
28 -1.32349e-22 0.006847 -65.4119 1.213e-22
29 -5.29396e-23 0.00418609 -39.9858 4.59662e-23
30 -nan -nan -nan -nan
