location a0 a1 stdiv
1 -0.0021294 4.64084 0 3.30932e-05
2 -0.000948328 1.64666 0 1.31608e-05
3 -0.000405453 0.600915 0 9.48399e-06
4 -0.000385906 1.49178 0 2.79381e-05
5 -0.000433208 1.91024 0 3.81696e-05
6 -0.000389583 1.41759 0 3.37128e-05
7 -0.000300348 1.06906 0 2.38946e-05
8 -0.00019385 0.789108 0 1.31565e-05
9 -0.000126754 0.526622 0 5.23841e-06
10 -7.73467e-05 0.323971 0 1.22913e-06
11 -3.46113e-05 0.151193 0 2.87942e-07
12 -1.70616e-05 0.071796 0 2.81427e-07
13 -1.21981e-05 0.0550037 0 1.94856e-07
14 -5.98475e-06 0.0334111 0 2.47479e-07
15 -4.80553e-06 0.0301644 0 1.70749e-07
16 -6.89963e-06 0.0433735 0 2.17539e-07
17 -5.37396e-06 0.0362616 0 2.09372e-07
18 -4.18144e-06 0.0284546 0 1.56734e-07
19 -4.37288e-06 0.0285991 0 1.30523e-07
20 -2.67853e-06 0.0177088 0 8.33179e-08
21 -9.74656e-07 0.00647585 0 2.62904e-08
22 -9.87355e-07 0.0066909 0 7.0504e-09
23 -7.88118e-07 0.00519778 0 2.13083e-08
24 -4.32645e-07 0.00292922 0 2.35209e-08
25 -9.56955e-08 -0.000840808 0 1.27163e-07
26 -nan -nan 0 -nan
