location a0 a1 a2 stdiv
1 0.00100055 -3.66839 7880.51 2.22765e-07
2 0.000354158 -1.82928 4552.23 1.81845e-08
3 0.000151555 -1.16429 3331.79 1.58144e-07
4 0.000103524 -0.977396 3094.17 2.06759e-07
5 8.02715e-05 -0.618017 1665.61 1.80497e-07
6 5.98292e-05 -0.430308 1106.66 1.70711e-07
7 3.51756e-05 -0.207684 455.19 1.20301e-07
8 2.2697e-05 -0.101447 129.206 8.28743e-08
9 1.74541e-05 -0.0774364 78.211 5.51966e-08
10 1.03548e-05 -0.0375949 -6.62565 2.71808e-08
11 4.00323e-06 -0.0104174 -27.7502 9.71473e-09
12 1.21855e-06 -0.00909633 20.1011 6.29957e-09
13 4.43388e-07 -0.0035456 0 2.06378e-08
14 1.68306e-06 -0.0194221 64.938 6.94915e-09
15 3.31302e-06 -0.0392056 132.598 1.29386e-08
16 4.34227e-06 -0.0524842 179.643 1.65229e-08
17 4.08977e-06 -0.0501582 174.065 1.53022e-08
18 2.88915e-06 -0.0362845 128.575 1.08608e-08
19 1.69402e-06 -0.0219463 79.6475 6.51911e-09
20 8.3779e-07 -0.0109658 40.0377 3.13974e-09
21 2.87124e-07 -0.00386468 14.3731 1.16087e-09
22 8.91702e-08 -0.00142918 5.8619 7.53356e-10
23 2.1255e-07 -0.00317593 12.4606 1.3979e-09
24 3.97139e-07 -0.00588131 22.9535 2.19424e-09
25 4.58583e-07 -0.0070064 27.9754 2.70655e-09
26 4.4243e-07 -0.00682981 27.4645 2.66336e-09
27 3.70293e-07 -0.00568745 22.7901 2.18886e-09
28 2.25081e-07 -0.00346894 13.9423 1.34595e-09
29 9.91424e-08 -0.0015548 6.33085 6.27198e-10
30 2.75268e-08 -0.000439556 1.81248 1.83953e-10
