location a0 a1 stdiv
1 -0.00341067 5.31479 0 8.86579e-06
2 -0.00136569 2.43262 0 4.76518e-06
3 -0.0003835 0.718425 0 1.56719e-06
4 -0.000251922 1.01208 0 2.21798e-06
5 -0.000278685 1.02653 0 2.71e-06
6 -0.00020495 0.28773 0 1.20672e-06
7 -8.79252e-05 -0.110404 0 2.41269e-07
8 -1.36053e-05 -0.113971 0 2.44302e-07
9 -1.58472e-05 -0.0592959 0 1.52723e-07
10 -2.68394e-05 -0.0296412 0 2.29132e-07
11 -1.26942e-05 -0.0121861 0 1.65787e-07
12 -7.06455e-06 0.0148781 0 9.33015e-09
13 -1.05281e-05 0.0315764 0 8.56096e-08
14 -5.24431e-06 0.0148011 0 1.76863e-08
15 -4.48226e-06 0.0178507 0 4.21837e-08
16 -1.20588e-05 0.0537982 0 1.35238e-07
17 -1.10884e-05 0.0539213 0 1.43026e-07
18 -4.2896e-06 0.0228849 0 6.20071e-08
19 -2.91558e-06 0.0147639 0 4.53293e-08
20 -2.55206e-06 0.0123605 0 1.41272e-08
21 -9.17899e-07 0.00478476 0 4.46125e-09
22 -1.60902e-06 0.00913369 0 1.79419e-08
23 -2.54429e-06 0.0150641 0 5.14037e-08
24 -1.23868e-06 0.00777948 0 1.82884e-08
25 -5.70616e-08 -0.00383384 0 1.06254e-07
26 -nan -nan 0 -nan
