location a0 a1 a2 stdiv
1 -0.154613 -35.2703 147568 1.28151e-05
2 -0.0491318 -6.40469 32834.3 1.05799e-06
3 0.0874003 -4.52306 -54915.9 8.09162e-06
4 -0.038183 13.8779 273.596 2.29395e-06
5 -0.0320726 20.2103 25914.5 1.09558e-05
6 0.0571771 -78.826 77984.6 2.05549e-05
7 -0.0263399 51.9543 -76943.3 9.06029e-06
8 -0.0237596 59.5848 -85359.3 1.17884e-05
9 0.0429924 -139.58 264968 1.93177e-05
10 -0.0198903 78.0805 -173591 8.04733e-06
11 -0.0177698 79.0134 -181533 8.72676e-06
12 0.031478 -161.193 407677 1.48013e-05
13 -0.0141857 81.5109 -221397 6.13229e-06
14 -0.0125239 76.863 -207685 7.53343e-06
15 0.0222102 -148.666 415875 1.42853e-05
16 -0.0101294 72.5848 -208934 7.13613e-06
17 -0.00920906 68.66 -197157 7.70104e-06
18 0.0165881 -130.748 385287 1.38896e-05
19 -0.00749037 62.1273 -188215 6.26262e-06
20 -0.00669259 57.6458 -176756 6.23063e-06
21 0.0116937 -105.558 331378 1.09763e-05
22 -0.0050991 48.0174 -153883 4.99548e-06
23 -0.00451124 43.5961 -140367 5.07243e-06
24 0.0079865 -79.6562 260107 9.26615e-06
25 -4.18223e-06 -49.9979 393454 6.28032e-05
26 -nan -nan -nan -nan
