location a0 a1 a2 stdiv
1 -2.54889 -3361.49 1.19121e+07 0.000534711
2 -2.07976 -528.113 0 0.00423481
3 -1.96328 263.285 0 0.00115234
4 -1.86616 -644.188 0 0.00218528
5 -1.95985 -907.219 0 0.00104029
6 -1.94886 -338.315 0 0.00080261
7 -1.83568 -258.677 0 0.00176734
8 -1.90893 -831.156 0 0.00168203
9 -1.94317 -989.179 0 0.00211931
10 -1.83102 -658.43 0 0.00708388
11 -1.88889 -232.897 0 0.00144545
12 -1.97681 -755.506 0 0.00132374
13 -1.87264 -1179.72 0 0.00185417
14 -1.86567 -148.838 0 0.00158512
15 -2.00615 -15.3267 0 0.00308751
16 -1.95212 -1165.07 0 0.000910669
17 -1.86388 -914.015 0 0.00327533
18 -2.01163 484.702 0 0.00181299
19 -2.05852 -481.854 0 0.00290993
20 -1.97221 -1330.16 0 0.00119595
21 -2.0148 -210.035 0 0.00187633
22 -2.19186 292.135 0 0.00199665
23 -2.28656 -636.592 0 0.00073801
24 -2.42121 -986.037 0 0.000976351
25 -2.67228 -784.32 0 0.00102815
26 0 0 0 0
27 -nan -nan 0 -nan
28 -nan -nan 0 -nan
29 -nan -nan 0 -nan
30 -nan -nan 0 -nan
