location a0 a1 stdiv
1 0.00217996 0.851411 0 6.32759e-06
2 0.000643826 1.17737 0 1.56134e-06
3 0.000227529 0.45871 0 1.06181e-06
4 0.000112384 0.196266 0 5.47798e-07
5 9.214e-05 0.417166 0 9.99363e-07
6 0.000102093 0.240007 0 6.03651e-07
7 7.72718e-05 -0.0218609 0 2.71919e-07
8 6.20953e-05 -0.0198705 0 5.78722e-07
9 6.81525e-05 0.00210193 0 9.44264e-07
10 5.57663e-05 -0.0647901 0 3.3363e-07
11 4.47677e-05 -0.209331 552.918 2.6985e-07
12 4.82012e-05 -0.183167 245.773 2.72823e-07
13 4.587e-05 -0.209281 536.066 2.37355e-07
14 3.39467e-05 -0.238505 790.788 1.76028e-07
15 3.35025e-05 -0.255143 663.786 1.16441e-07
16 3.46558e-05 -0.238123 571.198 1.23102e-07
17 2.69624e-05 -0.210965 654.952 1.2221e-07
18 2.37264e-05 -0.235333 768.245 6.28138e-08
19 2.5965e-05 -0.251952 745.81 4.35896e-08
20 2.32585e-05 -0.216661 651.331 6.31408e-08
21 1.88562e-05 -0.199238 667.784 4.29096e-08
22 2.02284e-05 -0.238456 817.471 1.05869e-08
23 2.36099e-05 -0.273371 916.687 1.63899e-08
24 2.17965e-05 -0.244585 810.929 3.28238e-08
25 1.3936e-05 -0.154574 511.595 2.73544e-08
26 1.05879e-22 0.0172582 -0 1.40065e-22
27 -nan -nan -nan -nan
28 -nan -nan -nan -nan
29 -nan -nan -nan -nan
30 -nan -nan -nan -nan
