location a0 a1 a2 stdiv
1 2.55589 3405.36 -1.19979 0.000513742
2 2.13542 1423.69 0 0.00550787
3 1.93985 -255.771 0 0.00145342
4 1.90575 460.818 0 0.00257244
5 1.98392 956.448 0 0.00122074
6 1.95449 403.845 0 0.0007894
7 1.83888 272.617 0 0.0017591
8 1.90947 871.166 0 0.0016745
9 1.94354 1039.67 0 0.0023147
10 1.83303 676.125 0 0.0088675
11 1.89163 249.136 0 0.00145239
12 1.97925 796.451 0 0.00140781
13 1.87412 1227.45 0 0.00188747
14 1.86806 171.864 0 0.00172508
15 2.00932 40.7211 0 0.00310532
16 1.95424 1211.43 0 0.000936631
17 1.86501 959.297 0 0.00334488
18 2.01508 -469.803 0 0.00179716
19 2.06101 522.835 0 0.00296757
20 1.97318 1379.16 0 0.00126961
21 2.01712 230.601 0 0.00194187
22 2.19535 -275.564 0 0.00202628
23 2.28916 678.225 0 0.000743861
24 2.42377 1031.57 0 0.00101519
25 2.67471 828.997 0 0.00104817

