location a0 a1 stdiv
1 0.0566013 6.00042 0 9.55009e-05
2 -0.0217621 -2.27472 0 1.82637e-05
3 0.0067412 -0.82063 0 8.76632e-06
4 -0.000303497 0.303903 0 1.35167e-05
5 -8.47779e-05 -0.89815 0 2.044e-05
6 0.00133524 -1.56752 0 2.02498e-06
7 -0.00054271 0.469155 0 5.40426e-06
8 -0.000346731 0.141919 0 3.46897e-06
9 0.000465877 0.231112 0 6.74162e-06
10 -6.66305e-05 -0.924887 0 5.30335e-06
11 -0.00018077 0.779716 0 1.03748e-06
12 0.000187747 -0.308695 0 3.56032e-06
13 -8.92119e-05 -0.0515009 0 2.61894e-06
14 -2.35617e-06 0.314623 0 3.78277e-07
15 8.64877e-05 -0.432261 0 3.32842e-07
16 -6.79191e-05 0.244666 0 6.75212e-07
17 1.18145e-05 0.0430939 0 6.4774e-07
18 2.6079e-05 -0.189598 0 3.66027e-07
19 -2.88562e-05 0.152557 0 6.24714e-08
20 1.28171e-05 -0.0434079 0 1.85985e-07
21 3.39718e-06 -0.0454936 0 4.06057e-07
22 -8.30684e-06 0.0553821 0 1.25085e-07
23 7.2518e-06 -0.0398026 0 4.7473e-08
24 -4.22241e-06 0.0200924 0 8.50996e-09
25 2.03219e-06 -0.0087165 0 1.67144e-09
26 -8.29673e-07 0.00342814 0 1.26634e-09
27 -nan -nan 0 -nan
28 -nan -nan 0 -nan
29 -nan -nan 0 -nan
30 -nan -nan 0 -nan
