location a0 a1 a2 stdiv
1 -0.159131 35.6591 -198111 5.53417e-05
2 0.018756 -19.4673 -3506.68 1.71758e-05
3 0.00207689 5.30408 -4525.21 4.44254e-06
4 -0.00454254 5.29469 -9410.58 7.96988e-07
5 0.002601 -9.06355 17434 5.93366e-06
6 -0.00185101 7.7717 -15949.8 4.35795e-06
7 0.00135301 -6.61775 14433.2 3.27406e-06
8 -0.000880867 5.35171 -13693.4 1.68629e-06
9 0.000137424 -1.3127 3803.55 4.37418e-07
10 0.000248358 -1.47324 3922.62 4.61275e-07
11 -0.000384993 2.87633 -8301.03 8.35348e-07
12 0.000264863 -2.13428 6305.77 6.53249e-07
13 -0.000143839 1.25104 -3821.85 3.81896e-07
14 4.00397e-05 -0.356982 1097.41 1.23936e-07
15 2.26897e-06 -0.0276215 88.4393 1.10994e-08
16 -1.97238e-05 0.209226 -684.799 7.2165e-08
17 1.72842e-05 -0.186895 619.984 6.70765e-08
18 -1.26892e-05 0.143566 -488.731 4.99534e-08
19 6.31964e-06 -0.0726252 249.5 2.49144e-08
20 -2.58057e-06 0.0310797 -109.818 1.01076e-08
21 1.39799e-08 -0.00011263 0.163677 1.37855e-11
22 7.32053e-07 -0.00891994 31.7908 2.7955e-09
23 -8.82885e-07 0.0111915 -40.7885 3.39322e-09
24 5.17196e-07 -0.00651166 23.6863 1.89195e-09
25 -2.24306e-07 0.00288561 -10.6433 8.2605e-10
26 4.21778e-08 -0.000532612 1.94263 1.47211e-10
27 -nan -nan -nan -nan
28 -nan -nan -nan -nan
29 -nan -nan -nan -nan
30 -nan -nan -nan -nan
